Date	         Weight	         How closely followed?
21 Feb 22	73.2 kg  Up	Reasonably Well	

20 Feb 22	73 kg  Down	Reasonably Well	

19 Feb 22	73.2 kg  Up	Reasonably Well	

18 Feb 22	72.5 kg  Down	Reasonably Well	

17 Feb 22	73 kg  Down	Reasonably Well	

16 Feb 22	73.4 kg  Up	Reasonably Well	

15 Feb 22	72.6 kg  Down	Reasonably Well	

14 Feb 22	73.5 kg  Down	Reasonably Well	

13 Feb 22	73.8 kg  Up	Reasonably Well	

12 Feb 22	73.5 kg  Up	Reasonably Well	

10 Feb 22	72.5 kg  Down	Reasonably Well	

09 Feb 22	73.4 kg  Down	Reasonably Well	

08 Feb 22	73.7 kg  Up	Reasonably Well	

07 Feb 22	73.1 kg  Steady	Reasonably Well	

06 Feb 22	73.1 kg  Up	Reasonably Well	

05 Feb 22	72.9 kg  Up	Reasonably Well	

04 Feb 22	72.6 kg  Up	Reasonably Well	

03 Feb 22	72.4 kg  Down	Reasonably Well	

02 Feb 22	72.7 kg  Down	Reasonably Well	

01 Feb 22	73.1 kg  Steady	Reasonably Well	

31 Jan 22	73.1 kg  Up	Reasonably Well	

30 Jan 22	72.9 kg  Up	Reasonably Well	

29 Jan 22	71.4 kg  Down	Reasonably Well	

28 Jan 22	71.9 kg  Up	Reasonably Well	

27 Jan 22	71.7 kg  Down	Reasonably Well	

26 Jan 22	71.8 kg  Steady	Reasonably Well	

25 Jan 22	71.8 kg  Steady	Reasonably Well	

24 Jan 22	71.8 kg  Up	Reasonably Well	

23 Jan 22	71.6 kg  Down	Reasonably Well	

22 Jan 22	72.1 kg  Up	Reasonably Well	

21 Jan 22	71.7 kg  Up	Reasonably Well	

20 Jan 22	71.3 kg  Down	Reasonably Well	

19 Jan 22	71.5 kg  Down	Reasonably Well	

18 Jan 22	72.3 kg  Down	Reasonably Well	

17 Jan 22	72.5 kg  Up	Reasonably Well	

16 Jan 22	72 kg  Up	Reasonably Well	

15 Jan 22	71 kg  Down	Reasonably Well	

14 Jan 22	71.9 kg  Up	Reasonably Well	

13 Jan 22	71.5 kg  Up	Reasonably Well	

12 Jan 22	71.4 kg  Down	Reasonably Well	

11 Jan 22	71.9 kg  Down	Reasonably Well	

10 Jan 22	72.3 kg  Up	Reasonably Well	

09 Jan 22	71.9 kg  Up	Reasonably Well	

08 Jan 22	71.6 kg  Down	Reasonably Well	

07 Jan 22	71.9 kg  Down	Reasonably Well	

06 Jan 22	72.4 kg  Up	Reasonably Well	

05 Jan 22	72.3 kg  Up	Reasonably Well	

04 Jan 22	71.6 kg  Down	Reasonably Well	

03 Jan 22	72.1 kg  Down	Reasonably Well	
